"","logFC","logCPM","F","PValue","FDR","EntrezID","Symbol","Regulated"
"16373",0.0610765138637105,4.76192142067536,0.367568170159429,0.556058775433219,0.983680996164539,"16373","Irx3","Normal"
"73182",0.0741291432151322,3.07115445751301,0.367451769146992,0.556120499916118,0.983680996164539,"73182","Pear1","Normal"
"17888",0.102285538928583,3.55367460856919,0.367420683047504,0.5561369121653,0.983680996164539,"17888","Myh6","Normal"
"241391",-0.0756986256864982,3.96204337980653,0.367263988923121,0.55621976901644,0.983680996164539,"241391","Galnt5","Normal"
"67222",0.0529944615905364,4.26809914751776,0.367256272459832,0.556223834232542,0.983680996164539,"67222","Srfbp1","Normal"
"331532",0.0525368046195374,6.55302976494878,0.367226874919153,0.556239382340669,0.983680996164539,"331532","Tceal5","Normal"
"78541",-0.0394995695984343,5.88555200687377,0.36722555884167,0.556240079944258,0.983680996164539,"78541","Asb8","Normal"
"267019",-0.0400634542491277,7.65605040054392,0.367176416133165,0.556266094545657,0.983680996164539,"267019","Rps15a","Normal"
"236069",-0.368518718561402,-1.87838073747911,0.367014554507113,0.556272044962045,0.983680996164539,"236069","Gm13238","Normal"
"209773",0.0608486538329964,4.09952556787013,0.367108494035275,0.556302074133097,0.983680996164539,"209773","Dennd2a","Normal"
"11754",-0.394752427374953,-1.6642813517491,0.367149196064043,0.55636481202359,0.983680996164539,"11754","Aoc3","Normal"
"20362",-0.0475356831226055,5.74851781150009,0.366783166418221,0.556474368245825,0.983680996164539,"20362","Septin8","Normal"
"12323",0.0357098092500287,7.42725301949491,0.366634670118373,0.556553053132512,0.983680996164539,"12323","Camk2b","Normal"
"68034",-0.0535637861338531,3.80653405650281,0.366565797174468,0.556589629295293,0.983680996164539,"68034","Pabir1","Normal"
"14755",0.0502463620497251,5.15464146756745,0.366322668250919,0.556718455380011,0.983680996164539,"14755","Pigq","Normal"
"13429",-0.0732005714702315,3.25063834879211,0.366320159081165,0.556719910269384,0.983680996164539,"13429","Dnm1","Normal"
"237625",-0.419893874850008,-1.97519770566189,0.365700694539056,0.556814360300412,0.983680996164539,"237625","Pla2g3","Normal"
"75007",0.041602651507452,5.06626769475571,0.366120476866159,0.556825693654,0.983680996164539,"75007","Mindy1","Normal"
"68169",0.315961794479512,-1.27777262873981,0.366296731735336,0.55685261089588,0.983680996164539,"68169","Ndnf","Normal"
"100503771",0.352389021130458,-1.83297804480871,0.365973778425953,0.556898253100467,0.983680996164539,"100503771",NA,"Normal"
"13000",-0.0411222506427426,5.60348382552217,0.365944404969633,0.556919109172172,0.983680996164539,"13000","Csnk2a2","Normal"
"15403",-0.143937545426405,0.767057993208447,0.365941548266871,0.556922822280491,0.983680996164539,"15403","Hoxa6","Normal"
"102920",-0.245009017906546,-0.786798697015881,0.365784445363836,0.557050088947073,0.983680996164539,"102920","Cenpi","Normal"
"269132",-0.489891602985573,-1.8330014419695,0.365529777161186,0.557078506809116,0.983680996164539,"269132","Colgalt2","Normal"
"57908",-0.0595575083611686,5.22544347403694,0.365494477778382,0.557157968836902,0.983680996164539,"57908","Zfp318","Normal"
"93761",-0.171590073477405,0.905332728071153,0.36523875349604,0.557295608911231,0.983680996164539,"93761","Smarca1","Normal"
"16589",-0.120324862072378,3.43212725710624,0.365076755322743,0.55738002371552,0.983680996164539,"16589","Uhmk1","Normal"
"53970",-0.0625028760555359,3.28366330565309,0.364984244999911,0.557429210298964,0.983680996164539,"53970","Rfx5","Normal"
"14789",0.0726187778952836,3.86248004352784,0.3649331495631,0.557456309616534,0.983680996164539,"14789","P3h3","Normal"
"22718",0.0672821275769388,3.61028915451696,0.364832978548131,0.557509617459635,0.983680996164539,"22718","Zfp60","Normal"
"236790",-0.102319143742374,2.52698073508667,0.364813493144794,0.557520090762337,0.983680996164539,"236790","Ints6l","Normal"
"209225",0.0542617137110296,4.32426629531062,0.364729196350295,0.557564720219103,0.983680996164539,"209225","Zfp710","Normal"
"66425",-0.328365136680579,-1.5120255522897,0.364521762695503,0.557805107826753,0.983680996164539,"66425","Pcp4l1","Normal"
"100715",0.0537971928815568,3.75172837126597,0.364236728548224,0.557826838568952,0.983680996164539,"100715","Tent2","Normal"
"21809",0.0340114561792717,8.42948077810493,0.364221456377266,0.557834893641155,0.983680996164539,"21809","Tgfb3","Normal"
"66592",0.0561498842353026,5.74156826980518,0.364051495159822,0.557925396046136,0.983680996164539,"66592","Stoml2","Normal"
"112415",-0.113745114388157,2.0902084085751,0.363851766308179,0.558032110500124,0.983680996164539,"112415","Zfp607b","Normal"
"18986",-0.11532001859868,3.52171522869309,0.363769785760772,0.558075572083343,0.983680996164539,"18986","Pou2f1","Normal"
"229320",-0.327948092614112,-1.78848839439206,0.363709497635346,0.558126647669208,0.983680996164539,"229320","Clrn1","Normal"
"544791",-0.122392909691319,5.68597467948157,0.363554788062952,0.558190049472714,0.983680996164539,"544791","Myh13","Normal"
"11622",0.0705872721630017,2.85462573040828,0.363475268334608,0.558232600798175,0.983680996164539,"11622","Ahr","Normal"
"230991",-0.0874091856443029,2.37949822464257,0.363266579372953,0.558343968972503,0.983680996164539,"230991","Fndc10","Normal"
"74451",0.0414397143574722,5.56683656107424,0.363137394898592,0.558412636776259,0.983680996164539,"74451","Pgs1","Normal"
"70362",-0.5703238267861,-2.18861471864559,0.361599633744553,0.558420594311217,0.983680996164539,"70362","Actl10","Normal"
"19882",0.254153963250692,-0.949475650087045,0.363199597735934,0.558444665663393,0.983680996164539,"19882","Mst1r","Normal"
"64176",0.101441101859785,1.71716089879111,0.363028257056276,0.55847145093405,0.983680996164539,"64176","Sv2b","Normal"
"269854",-0.1184441110609,1.86330869223466,0.362631820244551,0.558682950799197,0.983680996164539,"269854","Nat14","Normal"
